 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   2.6890  15.7570   0.2322   1.0133  0.20803E+05  0.20788E+05  0.14697E+02  0.22052E+05  0.26732E+00  0.36912E+03  0.21683E+05  0.10000E+01
    5.0140   2.6890  16.4423   0.2527   1.1027  0.17044E+05  0.17036E+05  0.74015E+01  0.17889E+05  0.10603E+00  0.28124E+03  0.17608E+05  0.10000E+01
    5.0140   2.6890  17.1009   0.2732   1.1922  0.14053E+05  0.14050E+05  0.25561E+01  0.14614E+05  0.42543E-01  0.21737E+03  0.14397E+05  0.10000E+01
    5.0140   2.6890  17.7358   0.2937   1.2816  0.11639E+05  0.11639E+05 -0.34126E+00  0.12001E+05  0.17194E-01  0.17075E+03  0.11830E+05  0.10000E+01
    5.0140   2.6890  18.3493   0.3142   1.3711  0.96729E+04  0.96745E+04 -0.16125E+01  0.98952E+04  0.69771E-02  0.13692E+03  0.97582E+04  0.10000E+01
    5.0140   2.6890  18.9437   0.3347   1.4605  0.80575E+04  0.80596E+04 -0.20680E+01  0.81822E+04  0.28338E-02  0.11090E+03  0.80713E+04  0.10000E+01
    5.0140   2.6890  19.5207   0.3552   1.5499  0.67236E+04  0.67256E+04 -0.19459E+01  0.67807E+04  0.11266E-02  0.90660E+02  0.66900E+04  0.10000E+01
    5.0140   2.6890  20.0817   0.3757   1.6394  0.56188E+04  0.56202E+04 -0.14294E+01  0.56298E+04  0.46475E-03  0.74750E+02  0.55550E+04  0.10000E+01
    5.0140   2.6890  20.6281   0.3962   1.7288  0.47007E+04  0.47014E+04 -0.65734E+00  0.46808E+04  0.18699E-03  0.62031E+02  0.46188E+04  0.10000E+01
    5.0140   2.6890  21.1609   0.4167   1.8183  0.39368E+04  0.39364E+04  0.33681E+00  0.38971E+04  0.74774E-04  0.52230E+02  0.38449E+04  0.10000E+01
    5.0140   2.6890  21.6813   0.4372   1.9077  0.32995E+04  0.32979E+04  0.16049E+01  0.32484E+04  0.29675E-04  0.45113E+02  0.32033E+04  0.10000E+01
    5.0140   2.6890  22.1900   0.4577   1.9971  0.27667E+04  0.27638E+04  0.29039E+01  0.27097E+04  0.11680E-04  0.39545E+02  0.26702E+04  0.10000E+01
    5.0140   2.6890  22.6879   0.4782   2.0866  0.23219E+04  0.23177E+04  0.41840E+01  0.22625E+04  0.45545E-05  0.35161E+02  0.22273E+04  0.10000E+01
    5.0140   2.6890  23.1756   0.4987   2.1760  0.19484E+04  0.19430E+04  0.54103E+01  0.18892E+04  0.17587E-05  0.31680E+02  0.18576E+04  0.10000E+01
    5.0140   2.6890  23.6539   0.5192   2.2655  0.16346E+04  0.16281E+04  0.65594E+01  0.15774E+04  0.67183E-06  0.28894E+02  0.15486E+04  0.10000E+01
    5.0140   2.6890  24.1232   0.5397   2.3549  0.13701E+04  0.13625E+04  0.76158E+01  0.13162E+04  0.25387E-06  0.26641E+02  0.12896E+04  0.10000E+01
    5.0140   2.4590  16.4983   0.2117   1.0153  0.16770E+05  0.16756E+05  0.14259E+02  0.18188E+05  0.55099E+00  0.33682E+03  0.17851E+05  0.10000E+01
    5.0140   2.4590  17.2843   0.2322   1.1135  0.13583E+05  0.13575E+05  0.85006E+01  0.14576E+05  0.21260E+00  0.25223E+03  0.14323E+05  0.10000E+01
    5.0140   2.4590  18.0371   0.2527   1.2118  0.11098E+05  0.11094E+05  0.44699E+01  0.11790E+05  0.83388E-01  0.19175E+03  0.11598E+05  0.10000E+01
    5.0140   2.4590  18.7606   0.2732   1.3101  0.91273E+04  0.91256E+04  0.17707E+01  0.96055E+04  0.33077E-01  0.14780E+03  0.94577E+04  0.10000E+01
    5.0140   2.4590  19.4582   0.2937   1.4084  0.75417E+04  0.75416E+04  0.79411E-01  0.78674E+04  0.13211E-01  0.11543E+03  0.77520E+04  0.10000E+01
    5.0140   2.4590  20.1326   0.3142   1.5067  0.62532E+04  0.62538E+04 -0.64799E+00  0.64706E+04  0.52942E-02  0.91936E+02  0.63787E+04  0.10000E+01
    5.0140   2.4590  20.7860   0.3347   1.6050  0.51974E+04  0.51983E+04 -0.94176E+00  0.53378E+04  0.21230E-02  0.73959E+02  0.52638E+04  0.10000E+01
    5.0140   2.4590  21.4203   0.3552   1.7033  0.43277E+04  0.43286E+04 -0.94240E+00  0.44133E+04  0.84986E-03  0.60019E+02  0.43532E+04  0.10000E+01
    5.0140   2.4590  22.0371   0.3757   1.8015  0.36083E+04  0.36090E+04 -0.74231E+00  0.36556E+04  0.33899E-03  0.49109E+02  0.36065E+04  0.10000E+01
    5.0140   2.4590  22.6380   0.3962   1.8998  0.30119E+04  0.30124E+04 -0.41108E+00  0.30324E+04  0.13447E-03  0.40393E+02  0.29920E+04  0.10000E+01
    5.0140   2.4590  23.2242   0.4167   1.9981  0.25167E+04  0.25167E+04 -0.59207E-03  0.25187E+04  0.52973E-04  0.33490E+02  0.24852E+04  0.10000E+01
    5.0140   2.4590  23.7967   0.4372   2.0964  0.21055E+04  0.21049E+04  0.60975E+00  0.20953E+04  0.20704E-04  0.28457E+02  0.20668E+04  0.10000E+01
    5.0140   2.4590  24.3565   0.4577   2.1947  0.17619E+04  0.17607E+04  0.12422E+01  0.17441E+04  0.80194E-05  0.24508E+02  0.17196E+04  0.10000E+01
    5.0140   2.4590  24.9045   0.4782   2.2930  0.14759E+04  0.14740E+04  0.18704E+01  0.14533E+04  0.30756E-05  0.21383E+02  0.14319E+04  0.10000E+01
    5.0140   2.4590  25.4414   0.4987   2.3913  0.12364E+04  0.12339E+04  0.24758E+01  0.12113E+04  0.11672E-05  0.18896E+02  0.11924E+04  0.10000E+01
    5.0140   2.4590  25.9679   0.5192   2.4896  0.10351E+04  0.10320E+04  0.30459E+01  0.10092E+04  0.43801E-06  0.16906E+02  0.99233E+03  0.10000E+01
    5.0140   2.4590  26.4847   0.5397   2.5879  0.86672E+03  0.86315E+03  0.35728E+01  0.84100E+03  0.16244E-06  0.15301E+02  0.82570E+03  0.10000E+01
    5.0140   2.2740  17.7764   0.2117   1.0888  0.12060E+05  0.12051E+05  0.91510E+01  0.13220E+05  0.46943E+00  0.25809E+03  0.12962E+05  0.10000E+01
    5.0140   2.2740  18.6243   0.2322   1.1942  0.97491E+04  0.97435E+04  0.55208E+01  0.10571E+05  0.17968E+00  0.19310E+03  0.10377E+05  0.10000E+01
    5.0140   2.2740  19.4366   0.2527   1.2996  0.79498E+04  0.79468E+04  0.29765E+01  0.85321E+04  0.69885E-01  0.14666E+03  0.83853E+04  0.10000E+01
    5.0140   2.2740  20.2174   0.2732   1.4050  0.65261E+04  0.65248E+04  0.12654E+01  0.69371E+04  0.27482E-01  0.11287E+03  0.68242E+04  0.10000E+01
    5.0140   2.2740  20.9703   0.2937   1.5104  0.53838E+04  0.53837E+04  0.18250E+00  0.56719E+04  0.10879E-01  0.87954E+02  0.55839E+04  0.10000E+01
    5.0140   2.2740  21.6983   0.3142   1.6158  0.44570E+04  0.44573E+04 -0.30827E+00  0.46565E+04  0.43200E-02  0.69685E+02  0.45869E+04  0.10000E+01
    5.0140   2.2740  22.4037   0.3347   1.7212  0.36989E+04  0.36994E+04 -0.50389E+00  0.38348E+04  0.17161E-02  0.55809E+02  0.37790E+04  0.10000E+01
    5.0140   2.2740  23.0887   0.3552   1.8266  0.30754E+04  0.30759E+04 -0.52804E+00  0.31655E+04  0.68024E-03  0.45065E+02  0.31204E+04  0.10000E+01
    5.0140   2.2740  23.7549   0.3757   1.9320  0.25601E+04  0.25606E+04 -0.43462E+00  0.26175E+04  0.26858E-03  0.36674E+02  0.25809E+04  0.10000E+01
    5.0140   2.2740  24.4040   0.3962   2.0374  0.21341E+04  0.21343E+04 -0.26408E+00  0.21681E+04  0.10543E-03  0.29990E+02  0.21381E+04  0.10000E+01
    5.0140   2.2740  25.0373   0.4167   2.1428  0.17804E+04  0.17804E+04 -0.46468E-01  0.17979E+04  0.41085E-04  0.24689E+02  0.17732E+04  0.10000E+01
    5.0140   2.2740  25.6560   0.4372   2.2482  0.14868E+04  0.14865E+04  0.28175E+00  0.14929E+04  0.15876E-04  0.20694E+02  0.14722E+04  0.10000E+01
    5.0140   2.2740  26.2610   0.4577   2.3536  0.12426E+04  0.12419E+04  0.64551E+00  0.12408E+04  0.60781E-05  0.17586E+02  0.12232E+04  0.10000E+01
    5.0140   2.2740  26.8534   0.4782   2.4590  0.10391E+04  0.10381E+04  0.10089E+01  0.10322E+04  0.23028E-05  0.15131E+02  0.10170E+04  0.10000E+01
    5.0140   2.2740  27.4339   0.4987   2.5644  0.86904E+03  0.86768E+03  0.13607E+01  0.85884E+03  0.86290E-06  0.13173E+02  0.84567E+03  0.10000E+01
    5.0140   2.2740  28.0033   0.5192   2.6698  0.72670E+03  0.72500E+03  0.16933E+01  0.71461E+03  0.31958E-06  0.11598E+02  0.70301E+03  0.10000E+01
    5.0140   2.2740  28.5622   0.5397   2.7752  0.60726E+03  0.60526E+03  0.20017E+01  0.59431E+03  0.11693E-06  0.10335E+02  0.58397E+03  0.10000E+01
    5.0140   2.1240  17.9540   0.1912   1.0372  0.11628E+05  0.11618E+05  0.99266E+01  0.13019E+05  0.11181E+01  0.28972E+03  0.12728E+05  0.10000E+01
    5.0140   2.1240  18.9001   0.2117   1.1484  0.92811E+04  0.92746E+04  0.64328E+01  0.10268E+05  0.41587E+00  0.21297E+03  0.10055E+05  0.10000E+01
    5.0140   2.1240  19.8026   0.2322   1.2595  0.74926E+04  0.74887E+04  0.39103E+01  0.81975E+04  0.15820E+00  0.15930E+03  0.80381E+04  0.10000E+01
    5.0140   2.1240  20.6673   0.2527   1.3707  0.61022E+04  0.61000E+04  0.21423E+01  0.66068E+04  0.61141E-01  0.12098E+03  0.64858E+04  0.10000E+01
    5.0140   2.1240  21.4987   0.2732   1.4819  0.50032E+04  0.50022E+04  0.95032E+00  0.53643E+04  0.23883E-01  0.93043E+02  0.52712E+04  0.10000E+01
    5.0140   2.1240  22.3005   0.2937   1.5931  0.41226E+04  0.41224E+04  0.19131E+00  0.43799E+04  0.93898E-02  0.72420E+02  0.43075E+04  0.10000E+01
    5.0140   2.1240  23.0759   0.3142   1.7042  0.34093E+04  0.34095E+04 -0.16644E+00  0.35915E+04  0.37022E-02  0.57193E+02  0.35343E+04  0.10000E+01
    5.0140   2.1240  23.8273   0.3347   1.8154  0.28264E+04  0.28267E+04 -0.30415E+00  0.29540E+04  0.14601E-02  0.45666E+02  0.29083E+04  0.10000E+01
    5.0140   2.1240  24.5571   0.3552   1.9266  0.23475E+04  0.23478E+04 -0.33048E+00  0.24355E+04  0.57441E-03  0.36753E+02  0.23987E+04  0.10000E+01
    5.0140   2.1240  25.2671   0.3757   2.0378  0.19522E+04  0.19525E+04 -0.28042E+00  0.20116E+04  0.22501E-03  0.29794E+02  0.19818E+04  0.10000E+01
    5.0140   2.1240  25.9589   0.3962   2.1489  0.16255E+04  0.16256E+04 -0.18016E+00  0.16641E+04  0.87614E-04  0.24281E+02  0.16398E+04  0.10000E+01
    5.0140   2.1240  26.6340   0.4167   2.2601  0.13547E+04  0.13547E+04 -0.49053E-01  0.13784E+04  0.33859E-04  0.19885E+02  0.13585E+04  0.10000E+01
    5.0140   2.1240  27.2935   0.4372   2.3713  0.11302E+04  0.11300E+04  0.14985E+00  0.11433E+04  0.12974E-04  0.16518E+02  0.11268E+04  0.10000E+01
    5.0140   2.1240  27.9387   0.4577   2.4825  0.94348E+03  0.94310E+03  0.38550E+00  0.94914E+03  0.49222E-05  0.13905E+02  0.93523E+03  0.10000E+01
    5.0140   2.1240  28.5705   0.4782   2.5937  0.78790E+03  0.78728E+03  0.62192E+00  0.78841E+03  0.18477E-05  0.11834E+02  0.77657E+03  0.10000E+01
    5.0140   2.1240  29.1897   0.4987   2.7048  0.65817E+03  0.65732E+03  0.85155E+00  0.65518E+03  0.68577E-06  0.10183E+02  0.64500E+03  0.10000E+01
    5.0140   2.1240  29.7971   0.5192   2.8160  0.54962E+03  0.54855E+03  0.10692E+01  0.54440E+03  0.25150E-06  0.88593E+01  0.53554E+03  0.10000E+01
    5.0140   2.1240  30.3935   0.5397   2.9272  0.45872E+03  0.45745E+03  0.12717E+01  0.45217E+03  0.91072E-07  0.77910E+01  0.44438E+03  0.10000E+01
    5.0140   2.0340  18.6363   0.1912   1.0695  0.99593E+04  0.99513E+04  0.80415E+01  0.11221E+05  0.10471E+01  0.26067E+03  0.10959E+05  0.10000E+01
    5.0140   2.0340  19.6190   0.2117   1.1841  0.79445E+04  0.79392E+04  0.52203E+01  0.88422E+04  0.38812E+00  0.19171E+03  0.86501E+04  0.10000E+01
    5.0140   2.0340  20.5566   0.2322   1.2988  0.64097E+04  0.64065E+04  0.31853E+01  0.70535E+04  0.14710E+00  0.14341E+03  0.69099E+04  0.10000E+01
    5.0140   2.0340  21.4550   0.2527   1.4134  0.52171E+04  0.52153E+04  0.17594E+01  0.56804E+04  0.56640E-01  0.10886E+03  0.55715E+04  0.10000E+01
    5.0140   2.0340  22.3188   0.2732   1.5280  0.42749E+04  0.42741E+04  0.79715E+00  0.46085E+04  0.22041E-01  0.83721E+02  0.45248E+04  0.10000E+01
    5.0140   2.0340  23.1521   0.2937   1.6427  0.35204E+04  0.35202E+04  0.18244E+00  0.37600E+04  0.86302E-02  0.65126E+02  0.36949E+04  0.10000E+01
    5.0140   2.0340  23.9579   0.3142   1.7573  0.29095E+04  0.29096E+04 -0.11391E+00  0.30809E+04  0.33890E-02  0.51359E+02  0.30295E+04  0.10000E+01
    5.0140   2.0340  24.7389   0.3347   1.8719  0.24108E+04  0.24111E+04 -0.22466E+00  0.25325E+04  0.13309E-02  0.40944E+02  0.24916E+04  0.10000E+01
    5.0140   2.0340  25.4976   0.3552   1.9866  0.20011E+04  0.20013E+04 -0.24940E+00  0.20865E+04  0.52125E-03  0.32897E+02  0.20536E+04  0.10000E+01
    5.0140   2.0340  26.2357   0.3757   2.1012  0.16634E+04  0.16636E+04 -0.21517E+00  0.17224E+04  0.20327E-03  0.26618E+02  0.16957E+04  0.10000E+01
    5.0140   2.0340  26.9550   0.3962   2.2159  0.13841E+04  0.13843E+04 -0.14214E+00  0.14239E+04  0.78779E-04  0.21658E+02  0.14022E+04  0.10000E+01
    5.0140   2.0340  27.6570   0.4167   2.3305  0.11528E+04  0.11529E+04 -0.45207E-01  0.11786E+04  0.30298E-04  0.17697E+02  0.11610E+04  0.10000E+01
    5.0140   2.0340  28.3429   0.4372   2.4451  0.96112E+03  0.96101E+03  0.10197E+00  0.97689E+03  0.11551E-04  0.14633E+02  0.96225E+03  0.10000E+01
    5.0140   2.0340  29.0139   0.4577   2.5598  0.80181E+03  0.80152E+03  0.28450E+00  0.81040E+03  0.43603E-05  0.12252E+02  0.79815E+03  0.10000E+01
    5.0140   2.0340  29.6711   0.4782   2.6744  0.66927E+03  0.66881E+03  0.46811E+00  0.67278E+03  0.16281E-05  0.10366E+02  0.66241E+03  0.10000E+01
    5.0140   2.0340  30.3153   0.4987   2.7891  0.55864E+03  0.55799E+03  0.64679E+00  0.55864E+03  0.60091E-06  0.88597E+01  0.54978E+03  0.10000E+01
    5.0140   2.0340  30.9473   0.5192   2.9037  0.46626E+03  0.46544E+03  0.81647E+00  0.46389E+03  0.21911E-06  0.76540E+01  0.45624E+03  0.10000E+01
    5.0140   2.0340  31.5679   0.5397   3.0183  0.38891E+03  0.38794E+03  0.97449E+00  0.38503E+03  0.78875E-07  0.66773E+01  0.37836E+03  0.10000E+01
    5.0140   1.9290  19.4789   0.1912   1.1072  0.83207E+04  0.83144E+04  0.63047E+01  0.94470E+04  0.97292E+00  0.23253E+03  0.92135E+04  0.10000E+01
    5.0140   1.9290  20.5070   0.2117   1.2258  0.66334E+04  0.66293E+04  0.40995E+01  0.74381E+04  0.35920E+00  0.17101E+03  0.72667E+04  0.10000E+01
    5.0140   1.9290  21.4880   0.2322   1.3445  0.53489E+04  0.53464E+04  0.25112E+01  0.59287E+04  0.13559E+00  0.12797E+03  0.58006E+04  0.10000E+01
    5.0140   1.9290  22.4281   0.2527   1.4632  0.43513E+04  0.43499E+04  0.13988E+01  0.47709E+04  0.51986E-01  0.97166E+02  0.46737E+04  0.10000E+01
    5.0140   1.9290  23.3322   0.2732   1.5819  0.35635E+04  0.35628E+04  0.64742E+00  0.38676E+04  0.20140E-01  0.74723E+02  0.37928E+04  0.10000E+01
    5.0140   1.9290  24.2044   0.2937   1.7006  0.29327E+04  0.29325E+04  0.16600E+00  0.31530E+04  0.78503E-02  0.58119E+02  0.30949E+04  0.10000E+01
    5.0140   1.9290  25.0480   0.3142   1.8192  0.24225E+04  0.24226E+04 -0.72286E-01  0.25817E+04  0.30682E-02  0.45769E+02  0.25359E+04  0.10000E+01
    5.0140   1.9290  25.8658   0.3347   1.9379  0.20061E+04  0.20063E+04 -0.15765E+00  0.21207E+04  0.11989E-02  0.36435E+02  0.20843E+04  0.10000E+01
    5.0140   1.9290  26.6602   0.3552   2.0566  0.16643E+04  0.16645E+04 -0.17942E+00  0.17460E+04  0.46729E-03  0.29225E+02  0.17168E+04  0.10000E+01
    5.0140   1.9290  27.4332   0.3757   2.1753  0.13827E+04  0.13828E+04 -0.15762E+00  0.14403E+04  0.18129E-03  0.23602E+02  0.14167E+04  0.10000E+01
    5.0140   1.9290  28.1867   0.3962   2.2939  0.11497E+04  0.11498E+04 -0.10712E+00  0.11898E+04  0.69885E-04  0.19182E+02  0.11706E+04  0.10000E+01
    5.0140   1.9290  28.9221   0.4167   2.4126  0.95712E+03  0.95716E+03 -0.38915E-01  0.98428E+03  0.26732E-04  0.15632E+02  0.96864E+03  0.10000E+01
    5.0140   1.9290  29.6408   0.4372   2.5313  0.79741E+03  0.79735E+03  0.64406E-01  0.81513E+03  0.10133E-04  0.12866E+02  0.80226E+03  0.10000E+01
    5.0140   1.9290  30.3440   0.4577   2.6500  0.66486E+03  0.66466E+03  0.20050E+00  0.67577E+03  0.38027E-05  0.10718E+02  0.66505E+03  0.10000E+01
    5.0140   1.9290  31.0327   0.4782   2.7686  0.55449E+03  0.55415E+03  0.33777E+00  0.56052E+03  0.14115E-05  0.90090E+01  0.55151E+03  0.10000E+01
    5.0140   1.9290  31.7080   0.4987   2.8873  0.46246E+03  0.46199E+03  0.47166E+00  0.46503E+03  0.51772E-06  0.76436E+01  0.45739E+03  0.10000E+01
    5.0140   1.9290  32.3706   0.5192   3.0060  0.38569E+03  0.38509E+03  0.59904E+00  0.38584E+03  0.18756E-06  0.65485E+01  0.37929E+03  0.10000E+01
    5.0140   1.9290  33.0213   0.5397   3.1247  0.32137E+03  0.32065E+03  0.71786E+00  0.31991E+03  0.67072E-07  0.56670E+01  0.31424E+03  0.10000E+01
