                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.6890  15.7570  0.20803E+05  0.22052E+05  0.26732E+00  0.21683E+05  0.22052E+05  0.26732E+00  0.21683E+05
    5.0140   2.6890  16.4423  0.17044E+05  0.17889E+05  0.10603E+00  0.17608E+05  0.17889E+05  0.10603E+00  0.17608E+05
    5.0140   2.6890  17.1009  0.14053E+05  0.14614E+05  0.42543E-01  0.14397E+05  0.14614E+05  0.42543E-01  0.14397E+05
    5.0140   2.6890  17.7358  0.11639E+05  0.12001E+05  0.17194E-01  0.11830E+05  0.12001E+05  0.17194E-01  0.11830E+05
    5.0140   2.6890  18.3493  0.96729E+04  0.98952E+04  0.69771E-02  0.97582E+04  0.98952E+04  0.69771E-02  0.97582E+04
    5.0140   2.6890  18.9437  0.80575E+04  0.81822E+04  0.28338E-02  0.80713E+04  0.81822E+04  0.28338E-02  0.80713E+04
    5.0140   2.6890  19.5207  0.67236E+04  0.67807E+04  0.11266E-02  0.66900E+04  0.67807E+04  0.11266E-02  0.66900E+04
    5.0140   2.6890  20.0817  0.56188E+04  0.56298E+04  0.46475E-03  0.55550E+04  0.56298E+04  0.46475E-03  0.55550E+04
    5.0140   2.6890  20.6281  0.47007E+04  0.46808E+04  0.18699E-03  0.46188E+04  0.46808E+04  0.18699E-03  0.46188E+04
    5.0140   2.6890  21.1609  0.39368E+04  0.38971E+04  0.74774E-04  0.38449E+04  0.38971E+04  0.74774E-04  0.38449E+04
    5.0140   2.6890  21.6813  0.32995E+04  0.32484E+04  0.29675E-04  0.32033E+04  0.32484E+04  0.29675E-04  0.32033E+04
    5.0140   2.6890  22.1900  0.27667E+04  0.27097E+04  0.11680E-04  0.26702E+04  0.27097E+04  0.11680E-04  0.26702E+04
    5.0140   2.6890  22.6879  0.23219E+04  0.22625E+04  0.45545E-05  0.22273E+04  0.22625E+04  0.45545E-05  0.22273E+04
    5.0140   2.6890  23.1756  0.19484E+04  0.18892E+04  0.17587E-05  0.18576E+04  0.18892E+04  0.17587E-05  0.18576E+04
    5.0140   2.6890  23.6539  0.16346E+04  0.15774E+04  0.67183E-06  0.15486E+04  0.15774E+04  0.67183E-06  0.15486E+04
    5.0140   2.6890  24.1232  0.13701E+04  0.13162E+04  0.25387E-06  0.12896E+04  0.13162E+04  0.25387E-06  0.12896E+04
    5.0140   2.4590  16.4983  0.16770E+05  0.18188E+05  0.55099E+00  0.17851E+05  0.18188E+05  0.55099E+00  0.17851E+05
    5.0140   2.4590  17.2843  0.13583E+05  0.14576E+05  0.21260E+00  0.14323E+05  0.14576E+05  0.21260E+00  0.14323E+05
    5.0140   2.4590  18.0371  0.11098E+05  0.11790E+05  0.83388E-01  0.11598E+05  0.11790E+05  0.83388E-01  0.11598E+05
    5.0140   2.4590  18.7606  0.91273E+04  0.96055E+04  0.33077E-01  0.94577E+04  0.96055E+04  0.33077E-01  0.94577E+04
    5.0140   2.4590  19.4582  0.75417E+04  0.78674E+04  0.13211E-01  0.77520E+04  0.78674E+04  0.13211E-01  0.77520E+04
    5.0140   2.4590  20.1326  0.62532E+04  0.64706E+04  0.52942E-02  0.63787E+04  0.64706E+04  0.52942E-02  0.63787E+04
    5.0140   2.4590  20.7860  0.51974E+04  0.53378E+04  0.21230E-02  0.52638E+04  0.53378E+04  0.21230E-02  0.52638E+04
    5.0140   2.4590  21.4203  0.43277E+04  0.44133E+04  0.84986E-03  0.43532E+04  0.44133E+04  0.84986E-03  0.43532E+04
    5.0140   2.4590  22.0371  0.36083E+04  0.36556E+04  0.33899E-03  0.36065E+04  0.36556E+04  0.33899E-03  0.36065E+04
    5.0140   2.4590  22.6380  0.30119E+04  0.30324E+04  0.13447E-03  0.29920E+04  0.30324E+04  0.13447E-03  0.29920E+04
    5.0140   2.4590  23.2242  0.25167E+04  0.25187E+04  0.52973E-04  0.24852E+04  0.25187E+04  0.52973E-04  0.24852E+04
    5.0140   2.4590  23.7967  0.21055E+04  0.20953E+04  0.20704E-04  0.20668E+04  0.20953E+04  0.20704E-04  0.20668E+04
    5.0140   2.4590  24.3565  0.17619E+04  0.17441E+04  0.80194E-05  0.17196E+04  0.17441E+04  0.80194E-05  0.17196E+04
    5.0140   2.4590  24.9045  0.14759E+04  0.14533E+04  0.30756E-05  0.14319E+04  0.14533E+04  0.30756E-05  0.14319E+04
    5.0140   2.4590  25.4414  0.12364E+04  0.12113E+04  0.11672E-05  0.11924E+04  0.12113E+04  0.11672E-05  0.11924E+04
    5.0140   2.4590  25.9679  0.10351E+04  0.10092E+04  0.43801E-06  0.99233E+03  0.10092E+04  0.43801E-06  0.99233E+03
    5.0140   2.4590  26.4847  0.86672E+03  0.84100E+03  0.16244E-06  0.82570E+03  0.84100E+03  0.16244E-06  0.82570E+03
    5.0140   2.2740  17.7764  0.12060E+05  0.13220E+05  0.46943E+00  0.12962E+05  0.13220E+05  0.46943E+00  0.12962E+05
    5.0140   2.2740  18.6243  0.97491E+04  0.10571E+05  0.17968E+00  0.10377E+05  0.10571E+05  0.17968E+00  0.10377E+05
    5.0140   2.2740  19.4366  0.79498E+04  0.85321E+04  0.69885E-01  0.83853E+04  0.85321E+04  0.69885E-01  0.83853E+04
    5.0140   2.2740  20.2174  0.65261E+04  0.69371E+04  0.27482E-01  0.68242E+04  0.69371E+04  0.27482E-01  0.68242E+04
    5.0140   2.2740  20.9703  0.53838E+04  0.56719E+04  0.10879E-01  0.55839E+04  0.56719E+04  0.10879E-01  0.55839E+04
    5.0140   2.2740  21.6983  0.44570E+04  0.46565E+04  0.43200E-02  0.45869E+04  0.46565E+04  0.43200E-02  0.45869E+04
    5.0140   2.2740  22.4037  0.36989E+04  0.38348E+04  0.17161E-02  0.37790E+04  0.38348E+04  0.17161E-02  0.37790E+04
    5.0140   2.2740  23.0887  0.30754E+04  0.31655E+04  0.68024E-03  0.31204E+04  0.31655E+04  0.68024E-03  0.31204E+04
    5.0140   2.2740  23.7549  0.25601E+04  0.26175E+04  0.26858E-03  0.25809E+04  0.26175E+04  0.26858E-03  0.25809E+04
    5.0140   2.2740  24.4040  0.21341E+04  0.21681E+04  0.10543E-03  0.21381E+04  0.21681E+04  0.10543E-03  0.21381E+04
    5.0140   2.2740  25.0373  0.17804E+04  0.17979E+04  0.41085E-04  0.17732E+04  0.17979E+04  0.41085E-04  0.17732E+04
    5.0140   2.2740  25.6560  0.14868E+04  0.14929E+04  0.15876E-04  0.14722E+04  0.14929E+04  0.15876E-04  0.14722E+04
    5.0140   2.2740  26.2610  0.12426E+04  0.12408E+04  0.60781E-05  0.12232E+04  0.12408E+04  0.60781E-05  0.12232E+04
    5.0140   2.2740  26.8534  0.10391E+04  0.10322E+04  0.23028E-05  0.10170E+04  0.10322E+04  0.23028E-05  0.10170E+04
    5.0140   2.2740  27.4339  0.86904E+03  0.85884E+03  0.86290E-06  0.84567E+03  0.85884E+03  0.86290E-06  0.84567E+03
    5.0140   2.2740  28.0033  0.72670E+03  0.71461E+03  0.31958E-06  0.70301E+03  0.71461E+03  0.31958E-06  0.70301E+03
    5.0140   2.2740  28.5622  0.60726E+03  0.59431E+03  0.11693E-06  0.58397E+03  0.59431E+03  0.11693E-06  0.58397E+03
    5.0140   2.1240  17.9540  0.11628E+05  0.13019E+05  0.11181E+01  0.12728E+05  0.13019E+05  0.11181E+01  0.12728E+05
    5.0140   2.1240  18.9001  0.92811E+04  0.10268E+05  0.41587E+00  0.10055E+05  0.10268E+05  0.41587E+00  0.10055E+05
    5.0140   2.1240  19.8026  0.74926E+04  0.81975E+04  0.15820E+00  0.80381E+04  0.81975E+04  0.15820E+00  0.80381E+04
    5.0140   2.1240  20.6673  0.61022E+04  0.66068E+04  0.61141E-01  0.64858E+04  0.66068E+04  0.61141E-01  0.64858E+04
    5.0140   2.1240  21.4987  0.50032E+04  0.53643E+04  0.23883E-01  0.52712E+04  0.53643E+04  0.23883E-01  0.52712E+04
    5.0140   2.1240  22.3005  0.41226E+04  0.43799E+04  0.93898E-02  0.43075E+04  0.43799E+04  0.93898E-02  0.43075E+04
    5.0140   2.1240  23.0759  0.34093E+04  0.35915E+04  0.37022E-02  0.35343E+04  0.35915E+04  0.37022E-02  0.35343E+04
    5.0140   2.1240  23.8273  0.28264E+04  0.29540E+04  0.14601E-02  0.29083E+04  0.29540E+04  0.14601E-02  0.29083E+04
    5.0140   2.1240  24.5571  0.23475E+04  0.24355E+04  0.57441E-03  0.23987E+04  0.24355E+04  0.57441E-03  0.23987E+04
    5.0140   2.1240  25.2671  0.19522E+04  0.20116E+04  0.22501E-03  0.19818E+04  0.20116E+04  0.22501E-03  0.19818E+04
    5.0140   2.1240  25.9589  0.16255E+04  0.16641E+04  0.87614E-04  0.16398E+04  0.16641E+04  0.87614E-04  0.16398E+04
    5.0140   2.1240  26.6340  0.13547E+04  0.13784E+04  0.33859E-04  0.13585E+04  0.13784E+04  0.33859E-04  0.13585E+04
    5.0140   2.1240  27.2935  0.11302E+04  0.11433E+04  0.12974E-04  0.11268E+04  0.11433E+04  0.12974E-04  0.11268E+04
    5.0140   2.1240  27.9387  0.94348E+03  0.94914E+03  0.49222E-05  0.93523E+03  0.94914E+03  0.49222E-05  0.93523E+03
    5.0140   2.1240  28.5705  0.78790E+03  0.78841E+03  0.18477E-05  0.77657E+03  0.78841E+03  0.18477E-05  0.77657E+03
    5.0140   2.1240  29.1897  0.65817E+03  0.65518E+03  0.68577E-06  0.64500E+03  0.65518E+03  0.68577E-06  0.64500E+03
    5.0140   2.1240  29.7971  0.54962E+03  0.54440E+03  0.25150E-06  0.53554E+03  0.54440E+03  0.25150E-06  0.53554E+03
    5.0140   2.1240  30.3935  0.45872E+03  0.45217E+03  0.91072E-07  0.44438E+03  0.45217E+03  0.91072E-07  0.44438E+03
    5.0140   2.0340  18.6363  0.99593E+04  0.11221E+05  0.10471E+01  0.10959E+05  0.11221E+05  0.10471E+01  0.10959E+05
    5.0140   2.0340  19.6190  0.79445E+04  0.88422E+04  0.38812E+00  0.86501E+04  0.88422E+04  0.38812E+00  0.86501E+04
    5.0140   2.0340  20.5566  0.64097E+04  0.70535E+04  0.14710E+00  0.69099E+04  0.70535E+04  0.14710E+00  0.69099E+04
    5.0140   2.0340  21.4550  0.52171E+04  0.56804E+04  0.56640E-01  0.55715E+04  0.56804E+04  0.56640E-01  0.55715E+04
    5.0140   2.0340  22.3188  0.42749E+04  0.46085E+04  0.22041E-01  0.45248E+04  0.46085E+04  0.22041E-01  0.45248E+04
    5.0140   2.0340  23.1521  0.35204E+04  0.37600E+04  0.86302E-02  0.36949E+04  0.37600E+04  0.86302E-02  0.36949E+04
    5.0140   2.0340  23.9579  0.29095E+04  0.30809E+04  0.33890E-02  0.30295E+04  0.30809E+04  0.33890E-02  0.30295E+04
    5.0140   2.0340  24.7389  0.24108E+04  0.25325E+04  0.13309E-02  0.24916E+04  0.25325E+04  0.13309E-02  0.24916E+04
    5.0140   2.0340  25.4976  0.20011E+04  0.20865E+04  0.52125E-03  0.20536E+04  0.20865E+04  0.52125E-03  0.20536E+04
    5.0140   2.0340  26.2357  0.16634E+04  0.17224E+04  0.20327E-03  0.16957E+04  0.17224E+04  0.20327E-03  0.16957E+04
    5.0140   2.0340  26.9550  0.13841E+04  0.14239E+04  0.78779E-04  0.14022E+04  0.14239E+04  0.78779E-04  0.14022E+04
    5.0140   2.0340  27.6570  0.11528E+04  0.11786E+04  0.30298E-04  0.11610E+04  0.11786E+04  0.30298E-04  0.11610E+04
    5.0140   2.0340  28.3429  0.96112E+03  0.97689E+03  0.11551E-04  0.96225E+03  0.97689E+03  0.11551E-04  0.96225E+03
    5.0140   2.0340  29.0139  0.80181E+03  0.81040E+03  0.43603E-05  0.79815E+03  0.81040E+03  0.43603E-05  0.79815E+03
    5.0140   2.0340  29.6711  0.66927E+03  0.67278E+03  0.16281E-05  0.66241E+03  0.67278E+03  0.16281E-05  0.66241E+03
    5.0140   2.0340  30.3153  0.55864E+03  0.55864E+03  0.60091E-06  0.54978E+03  0.55864E+03  0.60091E-06  0.54978E+03
    5.0140   2.0340  30.9473  0.46626E+03  0.46389E+03  0.21911E-06  0.45624E+03  0.46389E+03  0.21911E-06  0.45624E+03
    5.0140   2.0340  31.5679  0.38891E+03  0.38503E+03  0.78875E-07  0.37836E+03  0.38503E+03  0.78875E-07  0.37836E+03
    5.0140   1.9290  19.4789  0.83207E+04  0.94470E+04  0.97292E+00  0.92135E+04  0.94470E+04  0.97292E+00  0.92135E+04
    5.0140   1.9290  20.5070  0.66334E+04  0.74381E+04  0.35920E+00  0.72667E+04  0.74381E+04  0.35920E+00  0.72667E+04
    5.0140   1.9290  21.4880  0.53489E+04  0.59287E+04  0.13559E+00  0.58006E+04  0.59287E+04  0.13559E+00  0.58006E+04
    5.0140   1.9290  22.4281  0.43513E+04  0.47709E+04  0.51986E-01  0.46737E+04  0.47709E+04  0.51986E-01  0.46737E+04
    5.0140   1.9290  23.3322  0.35635E+04  0.38676E+04  0.20140E-01  0.37928E+04  0.38676E+04  0.20140E-01  0.37928E+04
    5.0140   1.9290  24.2044  0.29327E+04  0.31530E+04  0.78503E-02  0.30949E+04  0.31530E+04  0.78503E-02  0.30949E+04
    5.0140   1.9290  25.0480  0.24225E+04  0.25817E+04  0.30682E-02  0.25359E+04  0.25817E+04  0.30682E-02  0.25359E+04
    5.0140   1.9290  25.8658  0.20061E+04  0.21207E+04  0.11989E-02  0.20843E+04  0.21207E+04  0.11989E-02  0.20843E+04
    5.0140   1.9290  26.6602  0.16643E+04  0.17460E+04  0.46729E-03  0.17168E+04  0.17460E+04  0.46729E-03  0.17168E+04
    5.0140   1.9290  27.4332  0.13827E+04  0.14403E+04  0.18129E-03  0.14167E+04  0.14403E+04  0.18129E-03  0.14167E+04
    5.0140   1.9290  28.1867  0.11497E+04  0.11898E+04  0.69885E-04  0.11706E+04  0.11898E+04  0.69885E-04  0.11706E+04
    5.0140   1.9290  28.9221  0.95712E+03  0.98428E+03  0.26732E-04  0.96864E+03  0.98428E+03  0.26732E-04  0.96864E+03
    5.0140   1.9290  29.6408  0.79741E+03  0.81513E+03  0.10133E-04  0.80226E+03  0.81513E+03  0.10133E-04  0.80226E+03
    5.0140   1.9290  30.3440  0.66486E+03  0.67577E+03  0.38027E-05  0.66505E+03  0.67577E+03  0.38027E-05  0.66505E+03
    5.0140   1.9290  31.0327  0.55449E+03  0.56052E+03  0.14115E-05  0.55151E+03  0.56052E+03  0.14115E-05  0.55151E+03
    5.0140   1.9290  31.7080  0.46246E+03  0.46503E+03  0.51772E-06  0.45739E+03  0.46503E+03  0.51772E-06  0.45739E+03
    5.0140   1.9290  32.3706  0.38569E+03  0.38584E+03  0.18756E-06  0.37929E+03  0.38584E+03  0.18756E-06  0.37929E+03
    5.0140   1.9290  33.0213  0.32137E+03  0.31991E+03  0.67072E-07  0.31424E+03  0.31991E+03  0.67072E-07  0.31424E+03
    5.0140   1.7940  19.4986  0.84128E+04  0.97919E+04  0.24956E+01  0.95073E+04  0.97919E+04  0.24956E+01  0.95073E+04
    5.0140   1.7940  20.6481  0.66073E+04  0.75842E+04  0.88932E+00  0.73800E+04  0.75842E+04  0.88932E+00  0.73800E+04
    5.0140   1.7940  21.7393  0.52647E+04  0.59660E+04  0.32675E+00  0.58160E+04  0.59660E+04  0.32675E+00  0.58160E+04
    5.0140   1.7940  22.7808  0.42433E+04  0.47513E+04  0.12271E+00  0.46390E+04  0.47513E+04  0.12271E+00  0.46390E+04
    5.0140   1.7940  23.7790  0.34503E+04  0.38204E+04  0.46799E-01  0.37352E+04  0.38204E+04  0.46799E-01  0.37352E+04
    5.0140   1.7940  24.7392  0.28242E+04  0.30944E+04  0.18031E-01  0.30289E+04  0.30944E+04  0.18031E-01  0.30289E+04
    5.0140   1.7940  25.6656  0.23230E+04  0.25207E+04  0.69890E-02  0.24698E+04  0.25207E+04  0.69890E-02  0.24698E+04
    5.0140   1.7940  26.5619  0.19177E+04  0.20622E+04  0.27155E-02  0.20221E+04  0.20622E+04  0.27155E-02  0.20221E+04
    5.0140   1.7940  27.4310  0.15873E+04  0.16925E+04  0.10547E-02  0.16607E+04  0.16925E+04  0.10547E-02  0.16607E+04
    5.0140   1.7940  28.2754  0.13161E+04  0.13925E+04  0.40849E-03  0.13669E+04  0.13925E+04  0.40849E-03  0.13669E+04
    5.0140   1.7940  29.0973  0.10926E+04  0.11477E+04  0.15744E-03  0.11271E+04  0.11477E+04  0.15744E-03  0.11271E+04
    5.0140   1.7940  29.8985  0.90809E+03  0.94746E+03  0.60292E-04  0.93077E+03  0.94746E+03  0.60292E-04  0.93077E+03
    5.0140   1.7940  30.6807  0.75535E+03  0.78307E+03  0.22904E-04  0.76948E+03  0.78307E+03  0.22904E-04  0.76948E+03
    5.0140   1.7940  31.4453  0.62885E+03  0.64797E+03  0.86208E-05  0.63684E+03  0.64797E+03  0.86208E-05  0.63684E+03
    5.0140   1.7940  32.1935  0.52387E+03  0.53667E+03  0.32117E-05  0.52745E+03  0.53667E+03  0.32117E-05  0.52745E+03
    5.0140   1.7940  32.9266  0.43649E+03  0.44467E+03  0.11830E-05  0.43698E+03  0.44467E+03  0.11830E-05  0.43698E+03
    5.0140   1.7940  33.6454  0.36373E+03  0.36856E+03  0.43061E-06  0.36209E+03  0.36856E+03  0.43061E-06  0.36209E+03
    5.0140   1.7940  34.3509  0.30300E+03  0.30543E+03  0.15476E-06  0.29994E+03  0.30543E+03  0.15476E-06  0.29994E+03
    5.0140   1.7940  35.0440  0.25222E+03  0.25297E+03  0.54878E-07  0.24827E+03  0.25297E+03  0.54878E-07  0.24827E+03
    5.0140   1.6940  20.3843  0.70907E+04  0.83311E+04  0.23506E+01  0.80712E+04  0.83311E+04  0.23506E+01  0.80712E+04
    5.0140   1.6940  21.5871  0.55683E+04  0.64496E+04  0.83495E+00  0.62629E+04  0.64496E+04  0.83495E+00  0.62629E+04
    5.0140   1.6940  22.7292  0.44361E+04  0.50710E+04  0.30569E+00  0.49338E+04  0.50710E+04  0.30569E+00  0.49338E+04
    5.0140   1.6940  23.8194  0.35748E+04  0.40366E+04  0.11439E+00  0.39338E+04  0.40366E+04  0.11439E+00  0.39338E+04
    5.0140   1.6940  24.8645  0.29063E+04  0.32442E+04  0.43459E-01  0.31661E+04  0.32442E+04  0.43459E-01  0.31661E+04
    5.0140   1.6940  25.8700  0.23784E+04  0.26266E+04  0.16678E-01  0.25665E+04  0.26266E+04  0.16678E-01  0.25665E+04
    5.0140   1.6940  26.8404  0.19558E+04  0.21384E+04  0.64370E-02  0.20916E+04  0.21384E+04  0.64370E-02  0.20916E+04
    5.0140   1.6940  27.7793  0.16140E+04  0.17484E+04  0.24904E-02  0.17116E+04  0.17484E+04  0.24904E-02  0.17116E+04
    5.0140   1.6940  28.6899  0.13355E+04  0.14343E+04  0.96295E-03  0.14051E+04  0.14343E+04  0.96295E-03  0.14051E+04
    5.0140   1.6940  29.5747  0.11069E+04  0.11794E+04  0.37129E-03  0.11560E+04  0.11794E+04  0.37129E-03  0.11560E+04
    5.0140   1.6940  30.4361  0.91870E+03  0.97165E+03  0.14244E-03  0.95280E+03  0.97165E+03  0.14244E-03  0.95280E+03
    5.0140   1.6940  31.2760  0.76320E+03  0.80163E+03  0.54284E-04  0.78637E+03  0.80163E+03  0.54284E-04  0.78637E+03
    5.0140   1.6940  32.0962  0.63455E+03  0.66219E+03  0.20518E-04  0.64977E+03  0.66219E+03  0.20518E-04  0.64977E+03
    5.0140   1.6940  32.8980  0.52803E+03  0.54762E+03  0.76832E-05  0.53747E+03  0.54762E+03  0.76832E-05  0.53747E+03
    5.0140   1.6940  33.6828  0.43964E+03  0.45326E+03  0.28473E-05  0.44489E+03  0.45326E+03  0.28473E-05  0.44489E+03
    5.0140   1.6940  34.4518  0.36613E+03  0.37534E+03  0.10432E-05  0.36838E+03  0.37534E+03  0.10432E-05  0.36838E+03
    5.0140   1.6940  35.2060  0.30488E+03  0.31086E+03  0.37760E-06  0.30503E+03  0.31086E+03  0.37760E-06  0.30503E+03
    5.0140   1.6940  35.9465  0.25379E+03  0.25740E+03  0.13491E-06  0.25249E+03  0.25740E+03  0.13491E-06  0.25249E+03
    5.0140   1.6940  36.6739  0.21107E+03  0.21299E+03  0.47563E-07  0.20882E+03  0.21299E+03  0.47563E-07  0.20882E+03
    5.0140   1.5990  21.2893  0.60220E+04  0.71459E+04  0.22267E+01  0.69059E+04  0.71459E+04  0.22267E+01  0.69059E+04
