 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   2.6890  15.7570   0.2322   1.0133  0.16450E+03  0.16448E+03  0.17161E-01  0.17692E+03  0.41824E-01  0.48251E+01  0.17205E+03  0.10000E+01
    5.0140   2.6890  16.4423   0.2527   1.1027  0.13539E+03  0.13537E+03  0.16437E-01  0.14420E+03  0.26155E-01  0.36713E+01  0.14051E+03  0.10000E+01
    5.0140   2.6890  17.1009   0.2732   1.1922  0.11191E+03  0.11189E+03  0.15953E-01  0.11826E+03  0.16716E-01  0.28400E+01  0.11541E+03  0.10000E+01
    5.0140   2.6890  17.7358   0.2937   1.2816  0.93292E+02  0.93277E+02  0.15281E-01  0.97849E+02  0.10934E-01  0.22343E+01  0.95604E+02  0.10000E+01
    5.0140   2.6890  18.3493   0.3142   1.3711  0.78303E+02  0.78288E+02  0.14579E-01  0.81516E+02  0.72503E-02  0.17643E+01  0.79744E+02  0.10000E+01
    5.0140   2.6890  18.9437   0.3347   1.4605  0.66100E+02  0.66086E+02  0.14210E-01  0.68320E+02  0.48611E-02  0.14144E+01  0.66900E+02  0.10000E+01
    5.0140   2.6890  19.5207   0.3552   1.5499  0.56162E+02  0.56149E+02  0.13592E-01  0.57609E+02  0.32928E-02  0.11452E+01  0.56460E+02  0.10000E+01
    5.0140   2.6890  20.0817   0.3757   1.6394  0.47740E+02  0.47727E+02  0.13037E-01  0.48625E+02  0.22526E-02  0.93429E+00  0.47689E+02  0.10000E+01
    5.0140   2.6890  20.6281   0.3962   1.7288  0.40415E+02  0.40402E+02  0.12521E-01  0.40978E+02  0.15605E-02  0.76954E+00  0.40207E+02  0.10000E+01
    5.0140   2.6890  21.1609   0.4167   1.8183  0.34487E+02  0.34475E+02  0.12213E-01  0.34772E+02  0.10940E-02  0.63753E+00  0.34133E+02  0.10000E+01
    5.0140   2.6890  21.6813   0.4372   1.9077  0.29499E+02  0.29487E+02  0.11756E-01  0.29592E+02  0.77679E-03  0.53249E+00  0.29059E+02  0.10000E+01
    5.0140   2.6890  22.1900   0.4577   1.9971  0.25463E+02  0.25452E+02  0.11517E-01  0.25380E+02  0.55765E-03  0.44803E+00  0.24931E+02  0.10000E+01
    5.0140   2.6890  22.6879   0.4782   2.0866  0.22155E+02  0.22144E+02  0.11254E-01  0.21907E+02  0.40247E-03  0.37778E+00  0.21528E+02  0.10000E+01
