                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.6890  15.7570  0.16450E+03  0.17692E+03  0.41824E-01  0.17205E+03  0.17692E+03  0.41824E-01  0.17205E+03
    5.0140   2.6890  16.4423  0.13539E+03  0.14420E+03  0.26155E-01  0.14051E+03  0.14420E+03  0.26155E-01  0.14051E+03
    5.0140   2.6890  17.1009  0.11191E+03  0.11826E+03  0.16716E-01  0.11541E+03  0.11826E+03  0.16716E-01  0.11541E+03
    5.0140   2.6890  17.7358  0.93292E+02  0.97849E+02  0.10934E-01  0.95604E+02  0.97849E+02  0.10934E-01  0.95604E+02
    5.0140   2.6890  18.3493  0.78303E+02  0.81516E+02  0.72503E-02  0.79744E+02  0.81516E+02  0.72503E-02  0.79744E+02
    5.0140   2.6890  18.9437  0.66100E+02  0.68320E+02  0.48611E-02  0.66900E+02  0.68320E+02  0.48611E-02  0.66900E+02
    5.0140   2.6890  19.5207  0.56162E+02  0.57609E+02  0.32928E-02  0.56460E+02  0.57609E+02  0.32928E-02  0.56460E+02
    5.0140   2.6890  20.0817  0.47740E+02  0.48625E+02  0.22526E-02  0.47689E+02  0.48625E+02  0.22526E-02  0.47689E+02
    5.0140   2.6890  20.6281  0.40415E+02  0.40978E+02  0.15605E-02  0.40207E+02  0.40978E+02  0.15605E-02  0.40207E+02
    5.0140   2.6890  21.1609  0.34487E+02  0.34772E+02  0.10940E-02  0.34133E+02  0.34772E+02  0.10940E-02  0.34133E+02
    5.0140   2.6890  21.6813  0.29499E+02  0.29592E+02  0.77679E-03  0.29059E+02  0.29592E+02  0.77679E-03  0.29059E+02
    5.0140   2.6890  22.1900  0.25463E+02  0.25380E+02  0.55765E-03  0.24931E+02  0.25380E+02  0.55765E-03  0.24931E+02
    5.0140   2.6890  22.6879  0.22155E+02  0.21907E+02  0.40247E-03  0.21528E+02  0.21907E+02  0.40247E-03  0.21528E+02
    5.0140   2.6890  23.1756  0.19410E+02  0.19007E+02  0.28857E-03  0.18684E+02  0.19007E+02  0.28857E-03  0.18684E+02
    5.0140   2.6890  23.6539  0.17067E+02  0.16521E+02  0.20809E-03  0.16244E+02  0.16521E+02  0.20809E-03  0.16244E+02
    5.0140   2.6890  24.1232  0.14848E+02  0.14213E+02  0.15145E-03  0.13974E+02  0.14213E+02  0.15145E-03  0.13974E+02
    5.0140   2.4590  16.4983  0.13311E+03  0.14656E+03  0.54408E-01  0.14203E+03  0.14656E+03  0.54408E-01  0.14203E+03
    5.0140   2.4590  17.2843  0.10865E+03  0.11830E+03  0.32931E-01  0.11494E+03  0.11830E+03  0.32931E-01  0.11494E+03
    5.0140   2.4590  18.0371  0.89701E+02  0.96621E+02  0.20516E-01  0.94090E+02  0.96621E+02  0.20516E-01  0.94090E+02
    5.0140   2.4590  18.7606  0.74759E+02  0.79662E+02  0.13058E-01  0.77717E+02  0.79662E+02  0.13058E-01  0.77717E+02
    5.0140   2.4590  19.4582  0.62264E+02  0.65780E+02  0.84894E-02  0.64265E+02  0.65780E+02  0.84894E-02  0.64265E+02
    5.0140   2.4590  20.1326  0.51905E+02  0.54471E+02  0.55942E-02  0.53278E+02  0.54471E+02  0.55942E-02  0.53278E+02
